Seat L1,Seat L2,Seat L3,Seat L4,sum
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
277.0,408.0,439.0,156.0,1280.0
